rank,author,catagory,solved
,,,
"
                1
            ",ReaLNero1,Expert ReaLNero1,"
                4914
            "
"
                2
            ",vjudge3,"Unrated, vjudge3","
                4629
            "
"
                3
            ",vjudge5,"Unrated, vjudge5","
                4602
            "
"
                4
            ",vjudge4,"Unrated, vjudge4","
                4598
            "
"
                5
            ",vjudge1,"Unrated, vjudge1","
                4585
            "
"
                6
            ",vjudge2,"Unrated, vjudge2","
                4585
            "
"
                7
            ",guille,Master guille,"
                3733
            "
"
                8
            ",dreamoon_love_AA,International Grandmaster dreamoon_love_AA,"
                3397
            "
"
                9
            ",KrK,International Grandmaster KrK,"
                3363
            "
"
                10
            ",uwi,International Grandmaster uwi,"
                3323
            "
"
                11
            ",Ali.Pi,Expert Ali.Pi,"
                3273
            "
"
                12
            ",kmjp,Grandmaster kmjp,"
                3092
            "
"
                13
            ",krijgertje,International Grandmaster krijgertje,"
                3060
            "
"
                14
            ",ivan100sic,Grandmaster ivan100sic,"
                2866
            "
"
                15
            ",130705009,"Unrated, 130705009","
                2854
            "
"
                16
            ",TripleM5da,International master TripleM5da,"
                2831
            "
"
                17
            ",Dalgerok,Candidate Master Dalgerok,"
                2752
            "
"
                18
            ",Heart_Blue,Candidate Master Heart_Blue,"
                2743
            "
"
                19
            ",Scut82,Specialist Scut82,"
                2706
            "
"
                20
            ",I_love_Tanya_Romanova,International Grandmaster I_love_Tanya_Romanova,"
                2652
            "
"
                21
            ",luogu_bot4,"Unrated, luogu_bot4","
                2649
            "
"
                22
            ",luogu_bot3,"Unrated, luogu_bot3","
                2645
            "
"
                23
            ",luogu_bot1,"Unrated, luogu_bot1","
                2637
            "
"
                24
            ",xjlinyueru,"Unrated, xjlinyueru","
                2623
            "
"
                25
            ",luogu_bot5,"Unrated, luogu_bot5","
                2616
            "
"
                26
            ",.tx,Grandmaster .tx,"
                2614
            "
"
                27
            ",og.kostya,Candidate Master og.kostya,"
                2613
            "
"
                28
            ",luogu_bot2,"Unrated, luogu_bot2","
                2590
            "
"
                29
            ",IHadInt,Candidate Master IHadInt,"
                2567
            "
"
                30
            ",______M______,"Unrated, ______M______","
                2555
            "
"
                31
            ",Akikaze,Candidate Master Akikaze,"
                2551
            "
"
                32
            ",______i______,"Unrated, ______i______","
                2532
            "
"
                33
            ",______k______,"Unrated, ______k______","
                2509
            "
"
                34
            ",______h______,"Unrated, ______h______","
                2507
            "
"
                35
            ",______n______,"Unrated, ______n______","
                2502
            "
"
                36
            ",_____i_____,"Unrated, _____i_____","
                2498
            "
"
                37
            ",______u______,"Unrated, ______u______","
                2491
            "
"
                38
            ",_____k_____,"Unrated, _____k_____","
                2489
            "
"
                39
            ",freebsdx,"Unrated, freebsdx","
                2489
            "
"
                40
            ",HappyNewYearMike,"Unrated, HappyNewYearMike","
                2476
            "
"
                41
            ",yongwhan,Expert yongwhan,"
                2475
            "
"
                42
            ",ruban,Specialist ruban,"
                2412
            "
"
                43
            ",nealzane,Expert nealzane,"
                2408
            "
"
                44
            ",eddy1021,Grandmaster eddy1021,"
                2344
            "
"
                45
            ",alex20030190,International Grandmaster alex20030190,"
                2320
            "
"
                46
            ",alibaba,Expert alibaba,"
                2307
            "
"
                47
            ",chemthan,International Grandmaster chemthan,"
                2281
            "
"
                48
            ",2-SAD,Master 2-SAD,"
                2251
            "
"
                49
            ",Temirulan,Master Temirulan,"
                2242
            "
"
                50
            ",poikniok,Candidate Master poikniok,"
                2240
            "
"
                51
            ",haleyk100198,Candidate Master haleyk100198,"
                2238
            "
"
                52
            ",Farhod_Farmon,Grandmaster Farhod_Farmon,"
                2225
            "
"
                53
            ",Deemo,International Grandmaster Deemo,"
                2201
            "
"
                54
            ",dionysios,"Unrated, dionysios","
                2185
            "
"
                55
            ",Ashishgup,Master Ashishgup,"
                2175
            "
"
                56
            ",Shayan,Grandmaster Shayan,"
                2166
            "
"
                57
            ",aliasadiiii,Grandmaster aliasadiiii,"
                2156
            "
"
                58
            ",nhho,International Grandmaster nhho,"
                2121
            "
"
                59
            ",Quinas,Candidate Master Quinas,"
                2089
            "
"
                60
            ",Hachiikung,Candidate Master Hachiikung,"
                2082
            "
"
                61
            ",biltharesatyendra,Specialist biltharesatyendra,"
                2078
            "
"
                62
            ",Mjgonzales,Expert Mjgonzales,"
                2068
            "
"
                63
            ",vilcheuski,Master vilcheuski,"
                2068
            "
"
                64
            ",AleksanderBalobanov,Master AleksanderBalobanov,"
                2065
            "
"
                65
            ",xiaowuc1,Grandmaster xiaowuc1,"
                2048
            "
"
                66
            ",Shavkat_Aminov,Expert Shavkat_Aminov,"
                2024
            "
"
                67
            ",thienlongtpct,Expert thienlongtpct,"
                2020
            "
"
                68
            ",albeXL,Expert albeXL,"
                1999
            "
"
                69
            ",0w1,Master 0w1,"
                1998
            "
"
                70
            ",Arpa,Master Arpa,"
                1993
            "
"
                71
            ",kondranin,Master kondranin,"
                1992
            "
"
                72
            ",Momentum,Candidate Master Momentum,"
                1987
            "
"
                73
            ",Omar_Morsi,Master Omar_Morsi,"
                1982
            "
"
                74
            ",OmarHashim,International master OmarHashim,"
                1977
            "
"
                75
            ",_HossamYehia_,Specialist _HossamYehia_,"
                1957
            "
"
                76
            ",Mk_Python_v1,"Unrated, Mk_Python_v1","
                1952
            "
"
                77
            ",Kerim.K,Master Kerim.K,"
                1948
            "
"
                78
            ",ITDOI,Candidate Master ITDOI,"
                1945
            "
"
                79
            ",I_love_Hoang_Yen,International master I_love_Hoang_Yen,"
                1918
            "
"
                80
            ",toxzi,Master toxzi,"
                1917
            "
"
                81
            ",ericxu0,International master ericxu0,"
                1905
            "
"
                82
            ",aka.Sohieb,Expert aka.Sohieb,"
                1900
            "
"
                83
            ",n_dao107,Master n_dao107,"
                1896
            "
"
                84
            ",ArshiaDadras,Candidate Master ArshiaDadras,"
                1895
            "
"
                85
            ",Azat_Yusupov,Candidate Master Azat_Yusupov,"
                1895
            "
"
                86
            ",egor.lifar,Master egor.lifar,"
                1893
            "
"
                87
            ",tmt514,International master tmt514,"
                1892
            "
"
                88
            ",pitfall,International master pitfall,"
                1887
            "
"
                89
            ",AMnu,Expert AMnu,"
                1880
            "
"
                90
            ",Shik,International Grandmaster Shik,"
                1876
            "
"
                91
            ",progmatic2,International master progmatic2,"
                1872
            "
"
                92
            ",AIDOS,Grandmaster AIDOS,"
                1865
            "
"
                93
            ",rareone0602,Master rareone0602,"
                1852
            "
"
                94
            ",Corvus,Expert Corvus,"
                1845
            "
"
                95
            ",fsshakkhor,Master fsshakkhor,"
                1836
            "
"
                96
            ",Hiasat,Master Hiasat,"
                1829
            "
"
                97
            ",natsugiri,International Grandmaster natsugiri,"
                1825
            "
"
                98
            ",marat.snowbear,International master marat.snowbear,"
                1820
            "
"
                99
            ",mkirsche,Grandmaster mkirsche,"
                1809
            "
"
                100
            ",Photon_,Master Photon_,"
                1794
            "
"
                101
            ",Noureldin,Master Noureldin,"
                1791
            "
"
                102
            ",3agwa,Expert 3agwa,"
                1776
            "
"
                103
            ",boook,Master boook,"
                1773
            "
"
                104
            ",enq,Legendary grandmaster Benq,"
                1770
            "
"
                105
            ",Bengal_Tiger,Expert Bengal_Tiger,"
                1758
            "
"
                106
            ",di_halt,Expert di_halt,"
                1754
            "
"
                107
            ",wrinx,International master wrinx,"
                1754
            "
"
                108
            ",charity,Expert charity,"
                1751
            "
"
                109
            ",Sonechko,Master Sonechko,"
                1745
            "
"
                110
            ",prodipdatta7,Expert prodipdatta7,"
                1743
            "
"
                111
            ",Vlad_kv,Master Vlad_kv,"
                1738
            "
"
                112
            ",danya.smelskiy,Master danya.smelskiy,"
                1738
            "
"
                113
            ",Mr_Emrul,Expert Mr_Emrul,"
                1736
            "
"
                114
            ",quotitquot,Expert quotitquot,"
                1734
            "
"
                115
            ",Deathly_Hallows,Master Deathly_Hallows,"
                1730
            "
"
                116
            ",shubhamgoyal__,Candidate Master shubhamgoyal__,"
                1724
            "
"
                117
            ",Sert,International master Sert,"
                1723
            "
"
                118
            ",waynetuinfor,Master waynetuinfor,"
                1717
            "
"
                119
            ",prince_of_crows,Expert prince_of_crows,"
                1715
            "
"
                120
            ",BigBag,Grandmaster BigBag,"
                1704
            "
"
                121
            ",Luqman,Master Luqman,"
                1700
            "
"
                122
            ",Ahmad_Elsagheer,Master Ahmad_Elsagheer,"
                1697
            "
"
                123
            ",Qumeric,Expert Qumeric,"
                1690
            "
"
                124
            ",Arpan_Bhowmik,Expert Arpan_Bhowmik,"
                1687
            "
"
                125
            ",Smaug,Master Smaug,"
                1686
            "
"
                126
            ",mayakin,Pupil mayakin,"
                1686
            "
"
                127
            ",justHusam,Candidate Master justHusam,"
                1685
            "
"
                128
            ",Dukkha,Specialist Dukkha,"
                1681
            "
"
                129
            ",rainboy,International master rainboy,"
                1681
            "
"
                130
            ",HellKitsune,International Grandmaster HellKitsune,"
                1676
            "
"
                131
            ",trungvthe130284,Candidate Master trungvthe130284,"
                1676
            "
"
                132
            ",Daniar,Master Daniar,"
                1656
            "
"
                133
            ",Princ_iple,Candidate Master Princ_iple,"
                1656
            "
"
                134
            ",farukkastamonuda,Expert farukkastamonuda,"
                1653
            "
"
                135
            ",I-Love-Islam,Master I-Love-Islam,"
                1651
            "
"
                136
            ",vepifanov,International Grandmaster vepifanov,"
                1651
            "
"
                137
            ",UoA_ZQC,International master UoA_ZQC,"
                1647
            "
"
                138
            ",Trasier,Candidate Master Trasier,"
                1645
            "
"
                139
            ",AminAnvari,Master AminAnvari,"
                1643
            "
"
                140
            ",yashar_sb_sb,Master yashar_sb_sb,"
                1637
            "
"
                141
            ",nongi,Expert nongi,"
                1635
            "
"
                142
            ",kocko,Expert kocko,"
                1632
            "
"
                143
            ",YakutovDmitriy,International master YakutovDmitriy,"
                1616
            "
"
                144
            ",Dalimus,Expert Dalimus,"
                1614
            "
"
                145
            ",EarlOfDitches,Master EarlOfDitches,"
                1610
            "
"
                146
            ",.I.,International master .I.,"
                1608
            "
"
                147
            ",theodor.moroianu,Master theodor.moroianu,"
                1608
            "
"
                148
            ",WOSHIGEPACHONG2,"Unrated, WOSHIGEPACHONG2","
                1601
            "
"
                149
            ",-Morass-,Master -Morass-,"
                1600
            "
"
                150
            ",JohStraat,Candidate Master JohStraat,"
                1599
            "
"
                151
            ",bluefi,Master bluefi,"
                1599
            "
"
                152
            ",Minnakhmetov,Master Minnakhmetov,"
                1595
            "
"
                153
            ",FieryPhoenix,Candidate Master FieryPhoenix,"
                1591
            "
"
                154
            ",fengsuiyan,International master fengsuiyan,"
                1589
            "
"
                155
            ",Ahmed_Morsy,Candidate Master Ahmed_Morsy,"
                1587
            "
"
                156
            ",dragonslayerintraining,Grandmaster dragonslayerintraining,"
                1585
            "
"
                157
            ",Vladyslav,Master Vladyslav,"
                1581
            "
"
                158
            ",huntfire,Expert huntfire,"
                1580
            "
"
                159
            ",sping128,Expert sping128,"
                1576
            "
"
                160
            ",Vladik,Master Vladik,"
                1575
            "
"
                161
            ",compiler_101,Master compiler_101,"
                1574
            "
"
                162
            ",WHAT_I_NEED_IS,Master WHAT_I_NEED_IS,"
                1568
            "
"
                163
            ",TadijaSebez,International master TadijaSebez,"
                1566
            "
"
                164
            ",step_by_step,International Grandmaster step_by_step,"
                1556
            "
"
                165
            ",SoiMae,Master SoiMae,"
                1550
            "
"
                166
            ",Hasan,Expert Hasan,"
                1549
            "
"
                167
            ",maximumSHOT,International master maximumSHOT,"
                1547
            "
"
                168
            ",Ahmad,Expert Ahmad,"
                1546
            "
"
                169
            ",rr_,Expert rr_,"
                1546
            "
"
                170
            ",TooDumbToWin,Master TooDumbToWin,"
                1544
            "
"
                171
            ",ViciousCoder,Expert ViciousCoder,"
                1544
            "
"
                172
            ",quailty,Grandmaster quailty,"
                1544
            "
"
                173
            ",VAVAvile,Candidate Master VAVAvile,"
                1543
            "
"
                174
            ",ruo,Expert ruo,"
                1541
            "
"
                175
            ",satylogin,Candidate Master satylogin,"
                1537
            "
"
                176
            ",Boxer,Candidate Master Boxer,"
                1533
            "
"
                177
            ",gskhirtladze,International master gskhirtladze,"
                1527
            "
"
                178
            ",NVAL,Master NVAL,"
                1521
            "
"
                179
            ",dcordb,Candidate Master dcordb,"
                1518
            "
"
                180
            ",gaporf,Candidate Master gaporf,"
                1514
            "
"
                181
            ",Slamur,Master Slamur,"
                1511
            "
"
                182
            ",Mosyagin,Candidate Master Mosyagin,"
                1510
            "
"
                183
            ",Not_depressed,Expert Not_depressed,"
                1509
            "
"
                184
            ",hogeover30,Expert hogeover30,"
                1509
            "
"
                185
            ",nwi,Master nwi,"
                1509
            "
"
                186
            ",irkstepanov,Grandmaster irkstepanov,"
                1508
            "
"
                187
            ",okuzn,Pupil okuzn,"
                1498
            "
"
                188
            ",windazz,Master windazz,"
                1497
            "
"
                189
            ",pavel.savchenkov,Grandmaster pavel.savchenkov,"
                1492
            "
"
                190
            ",XraY-,Legendary grandmaster -XraY-,"
                1489
            "
"
                191
            ",RedNextCentury,Master RedNextCentury,"
                1489
            "
"
                192
            ",hitman623,Master hitman623,"
                1487
            "
"
                193
            ",donli,Expert donli,"
                1485
            "
"
                194
            ",XenoAmess,Expert XenoAmess,"
                1479
            "
"
                195
            ",slicedclementines,Candidate Master slicedclementines,"
                1479
            "
"
                196
            ",Bassel,Expert Bassel,"
                1478
            "
"
                197
            ",MarcosK,Candidate Master MarcosK,"
                1477
            "
"
                198
            ",Arrias,Master Arrias,"
                1476
            "
"
                199
            ",Yash_,Candidate Master Yash_,"
                1476
            "
"
                200
            ",orailly,Specialist orailly,"
                1476
            "
,,,
"
                201
            ",Joe_Pacha,Expert Joe_Pacha,"
                1473
            "
"
                202
            ",cuiaoxiang,Master cuiaoxiang,"
                1473
            "
"
                203
            ",xsc,Candidate Master xsc,"
                1472
            "
"
                204
            ",work_harderrrrrr,Specialist work_harderrrrrr,"
                1470
            "
"
                205
            ",Savaw,Candidate Master Savaw,"
                1468
            "
"
                206
            ",aadishj02,Pupil aadishj02,"
                1466
            "
"
                207
            ",skmonir,Expert skmonir,"
                1466
            "
"
                208
            ",TheMaverick,Candidate Master TheMaverick,"
                1465
            "
"
                209
            ",bidzilya,Grandmaster bidzilya,"
                1465
            "
"
                210
            ",merolish,Expert merolish,"
                1465
            "
"
                211
            ",Svyat,Master Svyat,"
                1462
            "
"
                212
            ",Abdelrhman_Akram,Candidate Master Abdelrhman_Akram,"
                1461
            "
"
                213
            ",Wild_Hamster,Grandmaster Wild_Hamster,"
                1459
            "
"
                214
            ",prof.PVH,Grandmaster prof.PVH,"
                1457
            "
"
                215
            ",6eJIa9IzZzTeHb,Candidate Master 6eJIa9IzZzTeHb,"
                1450
            "
"
                216
            ",Kharouba,Candidate Master Kharouba,"
                1446
            "
"
                217
            ",stefdasca,Master stefdasca,"
                1445
            "
"
                218
            ",MrDindows,Grandmaster MrDindows,"
                1444
            "
"
                219
            ",goodhope,Expert goodhope,"
                1444
            "
"
                220
            ",NoSoul,Expert NoSoul,"
                1442
            "
"
                221
            ",satyaki3794,International master satyaki3794,"
                1440
            "
"
                222
            ",the_art_of_war,Master the_art_of_war,"
                1440
            "
"
                223
            ",flyman3046,Expert flyman3046,"
                1433
            "
"
                224
            ",dannnyy,Expert dannnyy,"
                1432
            "
"
                225
            ",mochow,Specialist mochow,"
                1430
            "
"
                226
            ",Shinbai,Expert Shinbai,"
                1428
            "
"
                227
            ",phamvanhanhgoldIOI2015,Master phamvanhanhgoldIOI2015,"
                1424
            "
"
                228
            ",rfpermen,Candidate Master rfpermen,"
                1424
            "
"
                229
            ",serhatgiydiren,Expert serhatgiydiren,"
                1423
            "
"
                230
            ",STommydx,Candidate Master STommydx,"
                1421
            "
"
                231
            ",mahmoudbadawy,Master mahmoudbadawy,"
                1421
            "
"
                232
            ",Ehsan22,Expert Ehsan22,"
                1417
            "
"
                233
            ",A_Le_K,Candidate Master A_Le_K,"
                1416
            "
"
                234
            ",Why_not,Specialist Why_not,"
                1414
            "
"
                235
            ",err0r,Expert err0r,"
                1414
            "
"
                236
            ",tenshi_kanade,Master tenshi_kanade,"
                1412
            "
"
                237
            ",IMAN_GH,Master IMAN_GH,"
                1406
            "
"
                238
            ",Mohamed_Ayman,Specialist Mohamed_Ayman,"
                1405
            "
"
                239
            ",Great_Teacher,Candidate Master Great_Teacher,"
                1404
            "
"
                240
            ",Ronnie007,Master Ronnie007,"
                1404
            "
"
                241
            ",Ancient_mage,Candidate Master Ancient_mage,"
                1401
            "
"
                242
            ",Elibay,Expert Elibay,"
                1399
            "
"
                243
            ",sd0061,International Grandmaster sd0061,"
                1397
            "
"
                244
            ",bluemmb,Candidate Master bluemmb,"
                1395
            "
"
                245
            ",kzvd4729,Candidate Master kzvd4729,"
                1391
            "
"
                246
            ",Shayan.P,Grandmaster Shayan.P,"
                1390
            "
"
                247
            ",bill_kondo,Candidate Master bill_kondo,"
                1390
            "
"
                248
            ",y_shindoh,"Unrated, y_shindoh","
                1390
            "
"
                249
            ",ya_hossein,Expert ya_hossein,"
                1390
            "
"
                250
            ",M.Mahdi,Grandmaster M.Mahdi,"
                1389
            "
"
                251
            ",rodz,Candidate Master rodz,"
                1389
            "
"
                252
            ",saisurya027,Specialist saisurya027,"
                1388
            "
"
                253
            ",tfg,Grandmaster tfg,"
                1385
            "
"
                254
            ",rajat1603,Grandmaster rajat1603,"
                1383
            "
"
                255
            ",otorya,Legendary grandmaster dotorya,"
                1382
            "
"
                256
            ",HidenoriS,Master HidenoriS,"
                1381
            "
"
                257
            ",Misha100896,Candidate Master Misha100896,"
                1381
            "
"
                258
            ",Hoda_Hisham,Expert Hoda_Hisham,"
                1380
            "
"
                259
            ",arbitrary_A,Expert arbitrary_A,"
                1380
            "
"
                260
            ",Danial,Candidate Master Danial,"
                1378
            "
"
                261
            ",Ali.Kh,Master Ali.Kh,"
                1376
            "
"
                262
            ",Markellonchik,Master Markellonchik,"
                1375
            "
"
                263
            ",CaNDidaTE_FaSTer,Expert CaNDidaTE_FaSTer,"
                1372
            "
"
                264
            ",lys1280023,Candidate Master lys1280023,"
                1372
            "
"
                265
            ",HannaYz,Expert HannaYz,"
                1371
            "
"
                266
            ",Uzumaki_Narutoo,Expert Uzumaki_Narutoo,"
                1367
            "
"
                267
            ",Big_Red_Dates,Master Big_Red_Dates,"
                1366
            "
"
                268
            ",BayHarborButcher,Master BayHarborButcher,"
                1364
            "
"
                269
            ",pushpendra1997,Expert pushpendra1997,"
                1363
            "
"
                270
            ",xuanquang1999,Grandmaster xuanquang1999,"
                1363
            "
"
                271
            ",yugle7,"Unrated, yugle7","
                1363
            "
"
                272
            ",Amr_Hassan,"Unrated, Amr_Hassan","
                1361
            "
"
                273
            ",Mohammad_Kartoumeh,Master Mohammad_Kartoumeh,"
                1359
            "
"
                274
            ",doowey,Candidate Master doowey,"
                1358
            "
"
                275
            ",vlad107,Grandmaster vlad107,"
                1358
            "
"
                276
            ",MaxZubec,Master MaxZubec,"
                1356
            "
"
                277
            ",socketnaut,Grandmaster socketnaut,"
                1356
            "
"
                278
            ",Dibagger,Master Dibagger,"
                1355
            "
"
                279
            ",hank55663,International Grandmaster hank55663,"
                1355
            "
"
                280
            ",azukun,Grandmaster azukun,"
                1354
            "
"
                281
            ",sokian,Master sokian,"
                1354
            "
"
                282
            ",Omelianenko,Master Omelianenko,"
                1352
            "
"
                283
            ",codelegend,Master codelegend,"
                1348
            "
"
                284
            ",edisonhello,Grandmaster edisonhello,"
                1348
            "
"
                285
            ",marcospaulo,Candidate Master marcospaulo,"
                1348
            "
"
                286
            ",alireza_kaviani,Master alireza_kaviani,"
                1345
            "
"
                287
            ",Juniorandrade,Candidate Master Juniorandrade,"
                1344
            "
"
                288
            ",sicon54,"Unrated, sicon54","
                1344
            "
"
                289
            ",after,Candidate Master after,"
                1343
            "
"
                290
            ",cxlove,International master cxlove,"
                1339
            "
